Experiment,Citation,Depth,Sample date,Time (years),ambient CO2...6,increased CO2...7,ambient CO2...8,increased CO2...9,Description of data source,Value treatment
POPFACE - nigra,Hoosbeek et al. 2009,0-10 cm,oct. 1999,0,1379.45,1149.25,3,3,"fig. 5, pers. comm.",NA
POPFACE - nigra,Hoosbeek et al. 2009,0-10 cm,oct. 2000,1,1457.7983333333334,1169.0266666666666,3,3,"fig. 5, pers. comm.",NA
POPFACE - nigra,Hoosbeek et al. 2009,0-10 cm,oct. 2001,2,1534.1099666666664,1111.61515,3,3,"fig. 5, pers. comm.",NA
POPFACE - nigra,Hoosbeek et al. 2009,0-10 cm,oct. 2003,4,1518.4140734181783,1246.4650088700357,3,3,"fig. 5, pers. comm.",NA
POPFACE - nigra,Hoosbeek et al. 2009,0-10 cm,oct. 2004,5,1508.7230666666665,1343.9469555555554,3,3,"fig. 5, pers. comm.",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortgrass prairie,Pendall et al. 2004,0-5 cm,nov. 1995,0,617,645,3,3,appendix,NA
Shortgrass prairie,Pendall et al. 2004,0-5 cm,end growing season  1997,1,527,542,3,3,appendix,NA
Shortgrass prairie,Pendall et al. 2004,0-5 cm,end growing season  1998,2,488,522,3,3,appendix,NA
Shortgrass prairie,Pendall et al. 2004,0-5 cm,end growing season  1999,3,618,616,3,3,appendix,NA
NA,Pendall et al. 2004,0-5 cm,end growing season  2000,4,603,593,3,3,appendix,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SoyFACE,Moran and Jastrow 2010,0-12.5 cm,spring 2001,0,4802.884970605373,4141.977510849635,3,3,pers. comm.,assumed bulk density: 1.24 g/cm3. 1  ring removed from dataset
SoyFACE,Moran and Jastrow 2010,0-12.5 cm,spring 2006,5,4671.121580824256,4099.967277646065,3,3,pers. comm.,assumed bulk density: 1.23 g/cm3. 1 ring removed from dataset
SoyFACE,Moran and Jastrow 2010,0-12.5 cm,spring 2007,6,4437.467639893293,3836.1739506324134,3,3,pers. comm.,assumed bulk density: 1.19 g/cm3. 1 ring removed from dataset
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 1995,2,2878.48,2861.72,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 1996,3,2796,3584,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 1997,4,2854.8154647491106,2790.4893730742742,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 1998,5,3304.6037347690894,3368.170637729259,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 1999,6,2969.5091984963374,2946.056121471907,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 2000,7,2605.893591553497,2758.910755577657,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 2001,8,3732.961669099812,3833.8450303828113,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 2002,9,3350.4,3498.3,3,3,pers. comm.,NA
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 cm,may 2003,10,3292.9458744474136,3198.3367455508283,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 1995,2,3528,3222.8,3,3,pers. comm.,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 1996,3,3052,3892,3,3,pers. comm.,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 1997,4,3074.671013683164,3090.946288649598,3,3,pers. comm.,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 1998,5,3494.433907679282,3606.4888709975953,3,3,pers. comm.,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 1999,6,2985.9933519520955,3044.595738110672,3,3,pers. comm.,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 2000,7,2920.1190750950527,2587.7935145458873,3,3,pers. comm.,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 2001,8,3433.5196177188,3113.8346995461043,3,3,pers. comm.,NA
SwissFACE- grass - high N,Van Kessel et al. 2006,0-10 cm,may 2002,9,3302,3438.6,3,3,pers. comm.,NA
NA,Van Kessel et al. 2006,0-10 cm,may 2003,10,3257.867576559836,3331.8592526134535,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 1995,2,2822.36,2872.4,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 1996,3,3048,3500,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 1997,4,2862.24409945582,2930.7469790415225,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 1998,5,3033.6382615360703,3290.5538176065297,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 1999,6,2758.045605930066,2910.961225792722,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 2000,7,2543.99111048472,2987.1524566597295,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 2001,8,3442.7697048447494,3144.7070450526503,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 2002,9,3053,3590.6,3,3,pers. comm.,NA
SwissFACE- clover - low N,Van Kessel et al. 2006,0-10 cm,may 2003,10,2999.161696322473,3075.6188097309473,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 1995,2,2916.12,3495.68,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 1996,3,3256,3688,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 1997,4,2724.7254821791225,2995.5162925584596,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 1998,5,3233.356068028408,3405.902685282546,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 1999,6,2758.6142562411774,3153.0657275464396,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 2000,7,2630.0517133319736,2434.3774539721317,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 2001,8,3528.4659019930164,3571.558228768908,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 2002,9,3209,3456.1,3,3,pers. comm.,NA
SwissFACE- clover - high N,Van Kessel et al. 2006,0-10 cm,may 2003,10,2993.058863368545,3235.600890187407,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swiss Greenhouse,Körner and Arnone 1992,0-20 cm,-,0,1280,1280,2,2,table 4,NA
Swiss Greenhouse,Körner and Arnone 1992,0-20 cm,-,0.25,1205,980,2,2,table 4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tallgrass Prairie,Rice et al. 1994,0-5 cm,nov. 1992,2.5,2985.3,2859.75,3,3,table 1,bulk density = 0.93 g/cm3 (Williams et al. 2000)
Tallgrass Prairie,Williams et al. 2000,0-5 cm,oct. 1996,8,2180.8500000000004,2371.4999999999995,3,3,table 1,bulk density = 0.93 g/cm3 (Williams et al. 2000)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMBS - aspen,Zak et al. 1993,0-15 cm,may 1991,0,296.54999999999995,296.54999999999995,4,4,table 2,assumed bulk density: 1.0 g/cm3
UMBS - aspen,Zak et al. 1993,0-15 cm,oct. 1991,0.5,241.5,289.5,4,4,table 2,assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSL - loam, low N",Hagedorn et al. 2001,0-10 cm,jan. 1995,0,1290,1290,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, low N",Hagedorn et al. 2001,0-10 cm,sept. 1998,3.75,1317.020371556282,1471.392651438713,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSL - loam, high N",Hagedorn et al. 2001,0-10 cm,jan. 1995,0,1290,1290,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - loam, high N",Hagedorn et al. 2001,0-10 cm,sept. 1998,3.75,1481.5271943807602,1546.9084709882736,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSL - sand, low N",Hagedorn et al. 2001,0-10 cm,jan. 1995,0,1310,1310,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - sand, low N",Hagedorn et al. 2001,0-10 cm,sept. 1998,3.75,1166.8441371286654,1214.1494333958249,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WSL - sand, high N",Hagedorn et al. 2001,0-10 cm,jan. 1995,0,1310,1310,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
"WSL - sand, high N",Hagedorn et al. 2001,0-10 cm,sept. 1998,3.75,1120.1739564578374,1183.4270073535138,4,4,"fig. 4, pers. comm.",assumed bulk density: 1.0 g/cm3
